order_sig,order_seq,subj_cnt
order_0,001001000100010000010000000001001000000000000000000010001000000010000000000100000100000100000001001000010000100010000100000100000100000010000100001001000000100000001001000010000001000001000100000000000001000100000100000001000100100001000100010010000010000000001000001000010000000000000010001000000010000010000010000100000010000000100001000001000100010001000100,402
order_1,001000100000100000010010100010000001000100000000000001000000001000000000100100000010001000100000010000100010000100101000100100000001000001000000000000000000100100000000000000000101000000000100000100000100000000010000000000100010001001000000000001000000100100001010000100000100010000001000010001000010000100010000010000001001000000000000000100000100100000010010,397
order_2,000100000100000001000001000001000000100001000000100000100000001000001000100001000001000001000010000010000001000000100000001000000010000010001000000100010000100000100000100010000001000100001000000010001000010000010000100000010001000000010000001000001000010000010000010000001000000010000010000001000010000010000100000100010000001000001000000010000010000000100001,255
order_3,000100010000010000010000100000010000000000000010001000100010000001000000001001000001000010000000010000000100010001000010001000010000000001000001000000001001001000010001000001000000000000001000100100010000100000101000100000010000100000010001000000001000010000000100000010010001000101000000100000100000000000100010000001000100000000000100000010001000000100000000,415
order_4,000100000000000010001000100000010001000000100000010001000010000100001000001000000000010001001000000000100000001000000010000001000000010010010010001000100000010010001000000000100000000001000000010000100010001000001000100000100000000000010001000100000000010000100000001000000000000001000000100010001000000001000100010010000100001000001000010000000100001000100100,367
order_5,000100001000000100010000001001000010001001000000000010000001000000100000010000001000010001000000001001000100000010000001000010000100000100000000001000001000001000000000010000001001001001000000000100000001000000100100010000001000001000001000010010000100000100010000100001000001000000001000010000100100100000000100000001000000000000100000100000000010001000000010,402
order_6,000010000000001001000100001000000100000000010001000001000001010001000000000100000100000000100010000010001000100000100000000000010010000100010000000001000010000100000000010000101000010000100001000000010000001000100001000100010001001000010000000000000001000000100000100000000000100000001001000001000001010001000100010000100001000000000100010000000000010000100000,388
order_7,000010000010000000100100010000010000001000000000010000100001000100001000010010000000000000100010000010000010000000000010010000010000010000010000001000010000000100001000001000010010010010000010000100000000001000010010001000000100000010000010000010001001000001000010010010001000100010001000100001000000000001001000000010000000000000000100000010000000000000000010,396
order_8,001001000010000100000100000000100000000001000010000100100001000010000001000000000001000000001000010001000000100000000100000010000100100010000010000100010010000100000001000001000000000010000000000100000000000000000000100010010000100010010000010010010001001001001000000100000000000000000000100100010000100000100001000001000100000010000100010000000010000001000010,433
order_9,000100001000000100010000100010000100010000000000010000010000100000001000000000100000100001001000010100000010000000010010001000010001001000000000100001000001000000000001000001000000000000000100000010000001000001000100010001000010000000010000100000000010000000010000100100000100000000000000001000001001001000100000100000100100000001000000010001000010001000100010,420
order_10,000100100010010001000000100010010100001000000000000000010000001000010000000000000100000100001000000100000010001000100010000100000010000000000010000010000001001000000000100100000010000001000100001000001000001000001000000100100100000000000000010000001000000100100010000000100001001000001000001000001001000100000010000100000000001000010000100000000100010000010000,364
order_11,001001000100100000100010001000000100000010001000001000010000010000010000000000001000001000000000000000100100000001001000010000100000010001000100100100000010000000001000000100000000000000010000000000000000010001001000010000100000000001000100010001000010000100000100000010000100000000001000000001000001001000001000100100100010000001000010010000000000100000010010,432
order_12,010000100100000000100000000010001001010000100010001000010000000000100010000100010000100010000000000100001000100100010001000000000000001000010000000000000000100001000000000100000010000010000101000001000000100100010000100000100000000010000000000000100010010001000001000000010001000010000001001000100010000010000010000001000010000100000000001000000000010000000100,390
