model_name,q_d_r,q_d_rmse,q_s_r,q_s_rmse,tau_r,tau_rmse,cost_stop_error_r,cost_stop_error_rmse,cost_time_r,cost_time_rmse,inv_temp_r,inv_temp_rmse,cost_go_error_r,cost_go_error_rmse,cost_go_missing_r,cost_go_missing_rmse,q_d_n_r,q_d_n_rmse,q_s_n_r,q_s_n_rmse
5p_v1,0.9060264772661987,0.053438368418187415,0.6602221099221907,0.10548974051824497,0.9340341645315123,1.2802685329243775,0.9068989992228645,0.21529699055522777,0.9074395210381734,0.20656496274087663,,,,,,,,,,
7p_v1,0.844656746053614,0.07030432703084322,0.7026987592390476,0.09663877183027397,0.9081295860139924,1.345784339710011,0.8571959537113956,0.2655470629374411,0.8027924739072182,0.2875610565178076,0.2937841919095218,24.98155092139436,0.6471465765126357,0.36988738122691966,,,,,,
6p_v4,0.8931808604286472,0.059442176458429974,0.7846183479383367,0.0849400061180279,0.9517583387937577,0.9921269901961015,0.830166150912137,0.2732435419512591,0.7643800904398835,0.30063188555769305,,,0.6510110930427441,0.38375744341714074,0.5526522819344786,0.45353838153781584,,,,
10p_v1,0.8133086629439562,0.07801930913308767,0.4445040132574061,0.1283488716091507,0.897013594289857,1.6558934563035368,0.7213598403141447,0.420890260077346,0.7884155394292375,0.3100869016594327,0.30016661763941577,25.092908470396676,0.6636968858520108,0.3801336613678314,0.4526206624021992,0.526442311974609,0.7196182010825795,0.20526856685706055,0.339201021552775,0.2684409342429525
7p_v2,0.8435396389895096,0.07058691591066547,0.5767051259870862,0.11134650408598053,0.9523501538577541,1.0267162399256105,0.8648611832206342,0.2414207184912762,0.9046865597486369,0.19648706984280276,,,,,,,0.6504082037035683,0.2094664443033376,0.48431593352836916,0.23831385712376615
6p_v2,0.9309841831766523,0.047840241791756166,0.7532051930815448,0.09144937226095892,0.9660644130718958,0.8977473901017334,0.8224773994094847,0.2975965222369473,0.9379700487066812,0.17414935387110017,,,,,0.32377154938047537,0.48315453993969737,,,,
6p_v3,0.840152078278659,0.07125012396701542,0.6583184915085202,0.10224399066294396,0.9118207331317991,1.2735301183305934,0.8512232506770281,0.2675571878551139,0.857107999354687,0.24238140847143363,0.46536508140524846,23.668029059121906,,,,,,,,
6p_v1,0.8798538308230424,0.06282784541801714,0.7121313027943156,0.09611759181289037,0.9321472343980135,1.1891865685747438,0.740404523275517,0.3535847059009488,0.8335274417720163,0.2735200628340975,,,0.8202871723194741,0.2826737093527905,,,,,,
8p_v2,0.7998754916864403,0.08523246636537622,0.5199690619454379,0.1153375825342996,0.9403672671263779,1.188475975074685,0.8354623074291938,0.27373289745709156,0.8726302236316298,0.22592665115073912,0.2640481511943519,24.887980154140568,,,,,0.5703147200564258,0.22590734310575655,0.519467823651219,0.24581832176721213
8p_v1,0.8961427788987258,0.06277575632371181,0.7360214673822727,0.09253679431079809,0.8517525462947511,1.7696956573325748,0.6913026059755196,0.4134112250893628,0.684549849633591,0.36097309366695257,0.2057129044339515,26.07007950647074,0.6622981846702615,0.37124528691581715,0.4240902601085107,0.49014225967417113,,,,
